"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.20048000000E+008, -1.79551964780E-002, +0.00000000000E+000
+5.25047500000E+008, +1.30982327605E-001, +0.00000000000E+000
+5.30047000000E+008, +2.47274410232E-001, +0.00000000000E+000
+5.35046500000E+008, +1.36813225372E-001, +0.00000000000E+000
+5.40046000000E+008, +2.65503357346E-001, +0.00000000000E+000
+5.45045500000E+008, +1.51197143284E-001, +0.00000000000E+000
+5.50045000000E+008, -1.20858976558E-001, +0.00000000000E+000
+5.55044500000E+008, -2.10343912305E-001, +0.00000000000E+000
+5.60044000000E+008, -3.46915788391E-001, +0.00000000000E+000
+5.65043500000E+008, -3.44496685175E-002, +0.00000000000E+000
+5.70043000000E+008, -3.81526146771E-001, +0.00000000000E+000
+5.75042500000E+008, -6.42032966292E-002, +0.00000000000E+000
+5.80042000000E+008, -5.12795885934E-003, +0.00000000000E+000
+5.85041500000E+008, -1.59530593513E-001, +0.00000000000E+000
+5.90041000000E+008, +6.07044095753E-002, +0.00000000000E+000
+5.95040500000E+008, +8.45131319560E-002, +0.00000000000E+000
+6.00040000000E+008, +3.42052922305E-003, +0.00000000000E+000
+6.05039500000E+008, +2.08888638262E-001, +0.00000000000E+000
+6.10039000000E+008, -1.30685053261E-001, +0.00000000000E+000
+6.15038500000E+008, -9.74132074581E-002, +0.00000000000E+000
+6.20038000000E+008, +4.68949863283E-002, +0.00000000000E+000
+6.25037500000E+008, +1.04674926786E-001, +0.00000000000E+000
+6.30037000000E+008, +6.85445785657E-002, +0.00000000000E+000
+6.35036500000E+008, -2.24261665738E-001, +0.00000000000E+000
+6.40036000000E+008, -2.04667475626E-001, +0.00000000000E+000
+6.45035500000E+008, -1.48927139513E-001, +0.00000000000E+000
+6.50035000000E+008, -1.38402964819E-001, +0.00000000000E+000
+6.55034500000E+008, -1.38182023513E-001, +0.00000000000E+000
+6.60034000000E+008, -1.39259102348E-001, +0.00000000000E+000
+6.65033500000E+008, -1.97229481944E-001, +0.00000000000E+000
+6.70033000000E+008, -1.85312841799E-001, +0.00000000000E+000
+6.75032500000E+008, -1.84703375978E-001, +0.00000000000E+000
+6.80032000000E+008, -2.05345430600E-001, +0.00000000000E+000
+6.85031500000E+008, -1.45086596058E-001, +0.00000000000E+000
+6.90031000000E+008, -1.77279536659E-001, +0.00000000000E+000
+6.95030500000E+008, -1.53026265307E-001, +0.00000000000E+000
+7.00030000000E+008, -1.35471280121E-001, +0.00000000000E+000
+7.05029500000E+008, -1.23323110970E-001, +0.00000000000E+000
+7.10029000000E+008, -1.34109212104E-001, +0.00000000000E+000
+7.15028500000E+008, -1.34420023150E-001, +0.00000000000E+000
+7.20028000000E+008, -1.42859903791E-001, +0.00000000000E+000
+7.25027500000E+008, -1.55878438929E-001, +0.00000000000E+000
+7.30027000000E+008, -1.41339140904E-001, +0.00000000000E+000
+7.35026500000E+008, -1.62514278283E-001, +0.00000000000E+000
+7.40026000000E+008, -2.01064062310E-001, +0.00000000000E+000
+7.45025500000E+008, -1.68069835091E-001, +0.00000000000E+000
+7.50025000000E+008, -1.44929148489E-001, +0.00000000000E+000
+7.55024500000E+008, -1.09644532404E-001, +0.00000000000E+000
+7.60024000000E+008, -9.75069889832E-002, +0.00000000000E+000
+7.65023500000E+008, -1.86121612738E-001, +0.00000000000E+000
+7.70023000000E+008, -1.32022630061E-001, +0.00000000000E+000
+7.75022500000E+008, +1.06534545137E-003, +0.00000000000E+000
+7.80022000000E+008, -4.55425896991E-002, +0.00000000000E+000
+7.85021500000E+008, +1.16267769140E-001, +0.00000000000E+000
+7.90021000000E+008, +1.52041380858E-001, +0.00000000000E+000
+7.95020500000E+008, +9.45893436706E-002, +0.00000000000E+000
+8.00020000000E+008, +1.07521752083E-002, +0.00000000000E+000
+8.05019500000E+008, -9.78449642466E-002, +0.00000000000E+000
+8.10019000000E+008, -1.71323320222E-001, +0.00000000000E+000
+8.15018500000E+008, -8.24347329437E-002, +0.00000000000E+000
+8.20018000000E+008, -5.54439474288E-002, +0.00000000000E+000
+8.25017500000E+008, -8.64533189389E-002, +0.00000000000E+000
+8.30017000000E+008, -9.22541345583E-002, +0.00000000000E+000
+8.35016500000E+008, -5.28611573756E-003, +0.00000000000E+000
+8.40016000000E+008, -8.24291239899E-002, +0.00000000000E+000
+8.45015500000E+008, -6.75750561201E-002, +0.00000000000E+000
+8.50015000000E+008, +2.63791813699E-001, +0.00000000000E+000
+8.55014500000E+008, +7.94158280703E-002, +0.00000000000E+000
+8.60014000000E+008, +2.21543634747E-002, +0.00000000000E+000
+8.65013500000E+008, +1.11194480037E-001, +0.00000000000E+000
+8.70013000000E+008, -1.03803167399E-001, +0.00000000000E+000
+8.75012500000E+008, -2.01664229417E-001, +0.00000000000E+000
+8.80012000000E+008, -4.66741863609E-002, +0.00000000000E+000
+8.85011500000E+008, +1.62134186393E-002, +0.00000000000E+000
+8.90011000000E+008, -1.38338142830E-001, +0.00000000000E+000
+8.95010500000E+008, -1.44476151397E-001, +0.00000000000E+000
+9.00010000000E+008, +2.94768434505E-002, +0.00000000000E+000
+9.05009500000E+008, +1.25912431153E-001, +0.00000000000E+000
+9.10009000000E+008, +5.53321280580E-002, +0.00000000000E+000
+9.15008500000E+008, +5.16125506646E-002, +0.00000000000E+000
+9.20008000000E+008, +1.93533323050E-001, +0.00000000000E+000
+9.25007500000E+008, +1.78391520824E-001, +0.00000000000E+000
+9.30007000000E+008, -2.65844316724E-002, +0.00000000000E+000
+9.35006500000E+008, +1.53364766523E-001, +0.00000000000E+000
+9.40006000000E+008, +2.40405584370E-001, +0.00000000000E+000
+9.45005500000E+008, +4.20485536551E-003, +0.00000000000E+000
+9.50005000000E+008, -1.21976251253E-001, +0.00000000000E+000
+9.55004500000E+008, +2.21025207260E-003, +0.00000000000E+000
+9.60004000000E+008, -1.82992966564E-001, +0.00000000000E+000
+9.65003500000E+008, -2.31698592338E-001, +0.00000000000E+000
+9.70003000000E+008, -3.63348010198E-001, +0.00000000000E+000
+9.75002500000E+008, -4.16140679853E-001, +0.00000000000E+000
+9.80002000000E+008, -1.18098876985E-001, +0.00000000000E+000
+9.85001500000E+008, -1.91919017561E-001, +0.00000000000E+000
+9.90001000000E+008, -2.13980357999E-001, +0.00000000000E+000
+9.95000500000E+008, -3.66156702802E-001, +0.00000000000E+000
+1.00000000000E+009, -5.14081466215E-001, +0.00000000000E+000
